Device Local Timestamp,Plugin,Event,Description
2008-12-31 18:00:00,Packages,package_last_update,"com.google.android.networkstack.permissionconfig (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_install,"com.android.providers.settings (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_last_update,"com.miui.touchassistant (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_first_install,"com.xiaomi.bluetooth (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_first_install,"com.miui.phone.carriers.overlay.vodafone (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_install,"com.google.android.configupdater (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_first_install,"com.miui.phone.carriers.overlay.h3g (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_last_update,"com.android.emergency (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_first_install,"com.qualcomm.qti.qcolor (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_first_install,"com.qualcomm.embms (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_install,"com.miui.screenshot (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_last_update,"com.miui.system (system: True, third party: False)"
2008-12-31 18:00:00,Packages,package_install,"com.google.android.calendar (system: True, third party: False)"
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib64/libOmxAacEnc.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib/android.hardware.vibrator-V2-cpp.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libbufferhubqueue.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libdumputils.so
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/etc/permissions/com.nxp.nfc.xml
2009-01-01 00:00:00.000000,Files,file_modified,/system/fonts/NotoSansBrahmi-Regular.ttf
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/etc/seccomp_policy/sxraux-arm.policy
2009-01-01 00:00:00.000000,Files,file_modified,/system/cust/cl/cust.prop
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libhidlbase.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/framework/uimlpalibrary.jar
2009-01-01 00:00:00.000000,Files,file_modified,/system/etc/forcedarkconfig/cn.etouch.ecalendar.json
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib/vendor.qti.hardware.fingerprint@1.0.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/usr/srec/en-US/word_confidence_classifier
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/radio/qcril_database/upgrade/26_version_update_ecc_table.sql
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib64/hw/vulkan.adreno.so
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/framework/qti-telephony-utils.jar
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/lib64/vendor.qti.hardware.radio.ims@1.6.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/media/audio/ringtones/BentleyDubs.ogg
2009-01-01 00:00:00.000000,Files,file_modified,/system/etc/security/cacerts/b0f3e76e.0
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib/libmiuiinput.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/etc/group
2009-01-01 00:00:00.000000,Files,file_modified,/system/framework/arm64/boot-WfdCommon.oat
2009-01-01 00:00:00.000000,Files,file_modified,/product/overlay/DevicesAndroidOverlay.apk
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/etc/permissions/com.android.storagemanager.xml
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libmiuiblur.so
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/lib64/vendor.qti.data.factory@2.3.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/media/audio/notifications/Deneb.ogg
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib/lib-rtpcommon.so
2009-01-01 00:00:00.000000,Files,file_modified,/system_ext/lib64/libgralloc.system.qti.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/cust/bq/cust.prop
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libMiuiGalleryNSGIF.so
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/etc/qdcm_calib_data_sharp_1080p_120hz_dual_dsi_cmd_mode_panel.xml
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib/libadsprpc.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/media/theme/miui_mod_icons/com.android.contacts.activities.TwelveKeyDialer.png
2009-01-01 00:00:00.000000,Files,file_modified,/product/usr/srec/en-US/c_fst
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/etc/default_volume_tables.xml
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libcodec2_hidl_client@1.2.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/etc/permissions/com.android.nfc_extras.xml
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/app/IWlanService/IWlanService.apk
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib64/libsurfaceflinger.so
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/etc/ftm_loopback
2009-01-01 00:00:00.000000,Files,file_modified,/system/merge_config_other_item_list
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/odm/etc/NOTICE.xml.gz
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib/libwfddisplayconfig_proprietary.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/usr/hyphen-data/hyph-mn-cyrl.hyb
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/etc/sensors/sns_reg_config
2009-01-01 00:00:00.000000,Files,file_modified,/product/etc/build.prop
2009-01-01 00:00:00.000000,Files,file_modified,/product/media/audio/ringtones/Ring_Classic_02.ogg
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib64/vendor.qti.hardware.scve.panorama@1.0.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib/libcodec2_hidl_client@1.0.so
2009-01-01 00:00:00.000000,Files,file_modified,/system/cust/er/cust.prop
2009-01-01 00:00:00.000000,Files,file_modified,/system/lib/android.frameworks.schedulerservice@1.0.so
2009-01-01 00:00:00.000000,Files,file_modified,/product/media/audio/alarms/Neptunium.ogg
2009-01-01 00:00:00.000000,Files,file_modified,/vendor/lib/hw/android.hardware.audio@6.0-impl.so
